Resultado BP-7 com Inicial LFD
Bins Usados: 403
Perda: 1.13%

Bin 1 (148/150): [100, 48]
Bin 63 (150/150): [96, 54]
Bin 64 (150/150): [96, 54]
Bin 65 (150/150): [96, 54]
Bin 66 (150/150): [96, 54]
Bin 67 (150/150): [96, 54]
Bin 68 (150/150): [96, 54]
Bin 69 (150/150): [95, 55]
Bin 70 (150/150): [95, 55]
Bin 71 (150/150): [95, 55]
Bin 72 (150/150): [95, 55]
Bin 73 (150/150): [95, 55]
Bin 74 (150/150): [95, 55]
Bin 75 (150/150): [95, 55]
Bin 76 (150/150): [95, 55]
Bin 77 (150/150): [95, 55]
Bin 78 (150/150): [95, 55]
Bin 79 (150/150): [95, 55]
Bin 80 (150/150): [95, 55]
Bin 81 (150/150): [95, 55]
Bin 82 (150/150): [95, 55]
Bin 83 (150/150): [94, 56]
Bin 84 (150/150): [94, 56]
Bin 85 (150/150): [94, 56]
Bin 86 (150/150): [94, 56]
Bin 87 (150/150): [94, 56]
Bin 88 (150/150): [94, 56]
Bin 89 (150/150): [94, 56]
Bin 90 (150/150): [94, 56]
Bin 91 (150/150): [94, 56]
Bin 92 (150/150): [93, 57]
Bin 93 (150/150): [93, 57]
Bin 94 (150/150): [93, 57]
Bin 95 (149/150): [92, 57]
Bin 96 (149/150): [92, 57]
Bin 97 (149/150): [92, 57]
Bin 98 (149/150): [92, 57]
Bin 99 (149/150): [92, 57]
Bin 100 (149/150): [92, 57]
Bin 101 (149/150): [92, 57]
Bin 102 (149/150): [92, 57]
Bin 103 (149/150): [92, 57]
Bin 104 (149/150): [92, 57]
Bin 105 (150/150): [92, 58]
Bin 106 (150/150): [92, 58]
Bin 107 (150/150): [92, 58]
Bin 108 (150/150): [92, 58]
Bin 109 (150/150): [92, 58]
Bin 110 (149/150): [91, 58]
Bin 111 (149/150): [91, 58]
Bin 112 (149/150): [91, 58]
Bin 113 (149/150): [91, 58]
Bin 114 (149/150): [91, 58]
Bin 115 (149/150): [91, 58]
Bin 116 (150/150): [91, 59]
Bin 117 (150/150): [91, 59]
Bin 118 (150/150): [91, 59]
Bin 119 (150/150): [91, 59]
Bin 120 (150/150): [91, 59]
Bin 121 (150/150): [91, 59]
Bin 122 (150/150): [91, 59]
Bin 123 (150/150): [91, 59]
Bin 124 (150/150): [91, 59]
Bin 125 (150/150): [90, 60]
Bin 126 (150/150): [90, 60]
Bin 127 (150/150): [90, 60]
Bin 128 (150/150): [90, 60]
Bin 129 (150/150): [90, 60]
Bin 130 (150/150): [90, 60]
Bin 131 (150/150): [90, 60]
Bin 132 (150/150): [90, 60]
Bin 133 (150/150): [90, 60]
Bin 134 (150/150): [90, 60]
Bin 135 (150/150): [90, 60]
Bin 136 (150/150): [90, 60]
Bin 137 (150/150): [90, 60]
Bin 138 (149/150): [89, 60]
Bin 139 (149/150): [89, 60]
Bin 140 (149/150): [89, 60]
Bin 141 (149/150): [89, 60]
Bin 142 (149/150): [89, 60]
Bin 143 (150/150): [89, 61]
Bin 144 (150/150): [89, 61]
Bin 145 (150/150): [89, 61]
Bin 146 (149/150): [88, 61]
Bin 147 (149/150): [88, 61]
Bin 148 (149/150): [88, 61]
Bin 149 (149/150): [88, 61]
Bin 150 (149/150): [88, 61]
Bin 151 (149/150): [88, 61]
Bin 152 (149/150): [88, 61]
Bin 153 (149/150): [88, 61]
Bin 154 (150/150): [88, 62]
Bin 155 (150/150): [88, 62]
Bin 156 (150/150): [88, 62]
Bin 157 (150/150): [88, 62]
Bin 158 (150/150): [88, 62]
Bin 159 (149/150): [87, 62]
Bin 160 (149/150): [87, 62]
Bin 161 (149/150): [87, 62]
Bin 162 (149/150): [87, 62]
Bin 163 (149/150): [87, 62]
Bin 164 (149/150): [87, 62]
Bin 165 (149/150): [87, 62]
Bin 166 (149/150): [87, 62]
Bin 167 (150/150): [87, 63]
Bin 168 (150/150): [87, 63]
Bin 169 (149/150): [86, 63]
Bin 170 (149/150): [86, 63]
Bin 171 (149/150): [86, 63]
Bin 172 (149/150): [86, 63]
Bin 173 (149/150): [86, 63]
Bin 174 (150/150): [86, 64]
Bin 175 (150/150): [86, 64]
Bin 176 (149/150): [85, 64]
Bin 177 (149/150): [85, 64]
Bin 178 (149/150): [85, 64]
Bin 179 (149/150): [85, 64]
Bin 180 (149/150): [85, 64]
Bin 181 (149/150): [85, 64]
Bin 182 (149/150): [85, 64]
Bin 183 (149/150): [85, 64]
Bin 184 (149/150): [85, 64]
Bin 185 (149/150): [85, 64]
Bin 186 (149/150): [85, 64]
Bin 187 (149/150): [84, 65]
Bin 188 (149/150): [84, 65]
Bin 189 (149/150): [84, 65]
Bin 190 (149/150): [84, 65]
Bin 191 (149/150): [84, 65]
Bin 192 (149/150): [84, 65]
Bin 193 (149/150): [84, 65]
Bin 194 (149/150): [84, 65]
Bin 195 (149/150): [84, 65]
Bin 196 (150/150): [84, 66]
Bin 197 (150/150): [84, 66]
Bin 198 (150/150): [84, 66]
Bin 199 (150/150): [84, 66]
Bin 200 (150/150): [84, 66]
Bin 201 (150/150): [84, 66]
Bin 202 (150/150): [84, 66]
Bin 203 (150/150): [84, 66]
Bin 204 (150/150): [84, 66]
Bin 205 (150/150): [84, 66]
Bin 206 (150/150): [84, 66]
Bin 207 (149/150): [83, 66]
Bin 208 (149/150): [83, 66]
Bin 209 (149/150): [83, 66]
Bin 210 (149/150): [83, 66]
Bin 211 (150/150): [83, 67]
Bin 212 (150/150): [83, 67]
Bin 213 (150/150): [83, 67]
Bin 214 (150/150): [83, 67]
Bin 215 (150/150): [83, 67]
Bin 216 (150/150): [83, 67]
Bin 217 (149/150): [82, 67]
Bin 218 (149/150): [82, 67]
Bin 219 (149/150): [82, 67]
Bin 220 (149/150): [82, 67]
Bin 221 (149/150): [82, 67]
Bin 222 (149/150): [82, 67]
Bin 223 (149/150): [82, 67]
Bin 224 (149/150): [82, 67]
Bin 225 (149/150): [82, 67]
Bin 226 (150/150): [82, 68]
Bin 227 (150/150): [82, 68]
Bin 228 (150/150): [82, 68]
Bin 229 (150/150): [82, 68]
Bin 230 (149/150): [81, 68]
Bin 231 (149/150): [81, 68]
Bin 232 (149/150): [81, 68]
Bin 233 (149/150): [81, 68]
Bin 234 (150/150): [81, 69]
Bin 235 (150/150): [81, 69]
Bin 236 (150/150): [81, 69]
Bin 237 (150/150): [81, 69]
Bin 238 (150/150): [81, 69]
Bin 239 (150/150): [81, 69]
Bin 240 (150/150): [81, 69]
Bin 241 (150/150): [81, 69]
Bin 242 (150/150): [81, 69]
Bin 243 (150/150): [81, 69]
Bin 244 (149/150): [80, 69]
Bin 245 (149/150): [80, 69]
Bin 246 (149/150): [80, 69]
Bin 247 (149/150): [80, 69]
Bin 248 (149/150): [80, 69]
Bin 249 (149/150): [80, 69]
Bin 250 (150/150): [80, 70]
Bin 251 (150/150): [80, 70]
Bin 252 (150/150): [80, 70]
Bin 253 (150/150): [80, 70]
Bin 254 (150/150): [80, 70]
Bin 255 (150/150): [80, 70]
Bin 256 (150/150): [80, 70]
Bin 257 (150/150): [80, 70]
Bin 258 (150/150): [80, 70]
Bin 259 (150/150): [80, 70]
Bin 260 (150/150): [80, 70]
Bin 261 (149/150): [79, 70]
Bin 262 (149/150): [79, 70]
Bin 263 (149/150): [79, 70]
Bin 264 (149/150): [79, 70]
Bin 265 (149/150): [79, 70]
Bin 266 (150/150): [79, 71]
Bin 267 (150/150): [79, 71]
Bin 268 (150/150): [79, 71]
Bin 269 (150/150): [79, 71]
Bin 270 (150/150): [79, 71]
Bin 271 (150/150): [79, 71]
Bin 272 (150/150): [79, 71]
Bin 273 (150/150): [79, 71]
Bin 274 (149/150): [78, 71]
Bin 275 (149/150): [78, 71]
Bin 276 (149/150): [78, 71]
Bin 277 (149/150): [78, 71]
Bin 278 (150/150): [78, 72]
Bin 279 (150/150): [78, 72]
Bin 280 (150/150): [78, 72]
Bin 281 (150/150): [78, 72]
Bin 282 (150/150): [78, 72]
Bin 283 (150/150): [78, 72]
Bin 284 (150/150): [78, 72]
Bin 285 (150/150): [78, 72]
Bin 286 (150/150): [78, 72]
Bin 287 (150/150): [78, 72]
Bin 288 (150/150): [78, 72]
Bin 289 (150/150): [77, 73]
Bin 290 (150/150): [77, 73]
Bin 291 (150/150): [77, 73]
Bin 292 (150/150): [77, 73]
Bin 293 (150/150): [77, 73]
Bin 294 (149/150): [76, 73]
Bin 295 (150/150): [76, 74]
Bin 296 (150/150): [76, 74]
Bin 297 (150/150): [76, 74]
Bin 298 (150/150): [76, 74]
Bin 299 (150/150): [76, 74]
Bin 300 (150/150): [76, 74]
Bin 301 (150/150): [76, 74]
Bin 302 (150/150): [76, 74]
Bin 303 (150/150): [75, 75]
Bin 304 (150/150): [75, 75]
Bin 305 (150/150): [75, 75]
Bin 306 (150/150): [75, 75]
Bin 307 (150/150): [75, 75]
Bin 308 (149/150): [75, 74]
Bin 309 (146/150): [73, 73]
Bin 310 (146/150): [73, 73]
Bin 311 (146/150): [73, 73]
Bin 312 (150/150): [60, 59, 31]
Bin 313 (150/150): [57, 57, 36]
Bin 314 (150/150): [57, 57, 36]
Bin 315 (150/150): [53, 53, 44]
Bin 316 (144/150): [48, 48, 48]
Bin 317 (144/150): [48, 48, 48]
Bin 318 (144/150): [48, 48, 48]
Bin 319 (144/150): [48, 48, 48]
Bin 320 (142/150): [48, 47, 47]
Bin 321 (141/150): [47, 47, 47]
Bin 322 (141/150): [47, 47, 47]
Bin 323 (141/150): [47, 47, 47]
Bin 324 (140/150): [47, 47, 46]
Bin 325 (138/150): [46, 46, 46]
Bin 326 (138/150): [46, 46, 46]
Bin 327 (138/150): [46, 46, 46]
Bin 328 (138/150): [46, 46, 46]
Bin 329 (136/150): [46, 45, 45]
Bin 330 (135/150): [45, 45, 45]
Bin 331 (135/150): [45, 45, 45]
Bin 332 (135/150): [45, 45, 45]
Bin 333 (135/150): [45, 45, 45]
Bin 334 (135/150): [45, 45, 45]
Bin 335 (132/150): [44, 44, 44]
Bin 336 (132/150): [44, 44, 44]
Bin 337 (132/150): [44, 44, 44]
Bin 338 (132/150): [44, 44, 44]
Bin 339 (150/150): [44, 43, 43, 20]
Bin 340 (150/150): [43, 43, 43, 21]
Bin 341 (150/150): [43, 43, 43, 21]
Bin 342 (150/150): [43, 43, 43, 21]
Bin 343 (150/150): [43, 43, 43, 21]
Bin 344 (150/150): [43, 43, 42, 22]
Bin 345 (150/150): [42, 42, 42, 24]
Bin 346 (150/150): [42, 42, 42, 24]
Bin 347 (150/150): [42, 42, 42, 24]
Bin 348 (150/150): [42, 42, 42, 24]
Bin 349 (150/150): [42, 42, 42, 24]
Bin 350 (150/150): [42, 42, 41, 25]
Bin 351 (150/150): [41, 41, 41, 27]
Bin 352 (150/150): [41, 41, 41, 27]
Bin 353 (150/150): [41, 41, 41, 27]
Bin 354 (150/150): [41, 41, 40, 28]
Bin 355 (150/150): [40, 40, 40, 30]
Bin 356 (150/150): [40, 40, 40, 30]
Bin 357 (150/150): [40, 40, 40, 30]
Bin 358 (150/150): [40, 39, 39, 32]
Bin 359 (150/150): [39, 39, 39, 33]
Bin 360 (150/150): [39, 39, 39, 33]
Bin 361 (150/150): [39, 39, 38, 34]
Bin 362 (150/150): [38, 38, 38, 36]
Bin 363 (150/150): [38, 38, 38, 36]
Bin 364 (150/150): [38, 38, 38, 36]
Bin 365 (149/150): [38, 37, 37, 37]
Bin 366 (148/150): [37, 37, 37, 37]
Bin 367 (148/150): [37, 37, 37, 37]
Bin 368 (148/150): [37, 37, 37, 37]
Bin 369 (148/150): [37, 37, 37, 37]
Bin 370 (144/150): [36, 36, 36, 36]
Bin 371 (144/150): [36, 36, 36, 36]
Bin 372 (140/150): [35, 35, 35, 35]
Bin 373 (140/150): [35, 35, 35, 35]
Bin 374 (140/150): [35, 35, 35, 35]
Bin 375 (136/150): [34, 34, 34, 34]
Bin 376 (136/150): [34, 34, 34, 34]
Bin 377 (136/150): [34, 34, 34, 34]
Bin 378 (132/150): [33, 33, 33, 33]
Bin 379 (150/150): [33, 33, 32, 32, 20]
Bin 380 (150/150): [32, 32, 32, 32, 22]
Bin 381 (150/150): [32, 32, 32, 32, 22]
Bin 382 (150/150): [32, 32, 32, 32, 22]
Bin 383 (150/150): [32, 32, 31, 31, 24]
Bin 384 (150/150): [31, 31, 31, 31, 26]
Bin 385 (150/150): [31, 31, 30, 30, 28]
Bin 386 (150/150): [30, 30, 30, 30, 30]
Bin 387 (146/150): [30, 29, 29, 29, 29]
Bin 388 (145/150): [29, 29, 29, 29, 29]
Bin 389 (143/150): [29, 29, 29, 28, 28]
Bin 390 (137/150): [28, 28, 27, 27, 27]
Bin 391 (135/150): [27, 27, 27, 27, 27]
Bin 392 (135/150): [27, 27, 27, 27, 27]
Bin 393 (133/150): [27, 27, 27, 26, 26]
Bin 394 (150/150): [26, 26, 26, 26, 26, 20]
Bin 395 (150/150): [26, 26, 26, 25, 25, 22]
Bin 396 (150/150): [25, 25, 25, 25, 25, 25]
Bin 397 (147/150): [25, 25, 25, 24, 24, 24]
Bin 398 (141/150): [24, 24, 24, 23, 23, 23]
Bin 399 (138/150): [23, 23, 23, 23, 23, 23]
Bin 400 (136/150): [23, 23, 23, 23, 22, 22]
Bin 401 (148/150): [22, 21, 21, 21, 21, 21, 21]
Bin 402 (142/150): [21, 21, 20, 20, 20, 20, 20]
Bin 403 (120/150): [20, 20, 20, 20, 20, 20]
