Resultado BP-6 com Inicial LFD
Bins Usados: 201
Perda: 1.70%

Bin 1 (147/150): [100, 47]
Bin 136 (150/150): [79, 71]
Bin 137 (149/150): [78, 71]
Bin 138 (149/150): [78, 71]
Bin 139 (149/150): [78, 71]
Bin 140 (149/150): [78, 71]
Bin 141 (149/150): [78, 71]
Bin 142 (150/150): [78, 72]
Bin 143 (150/150): [78, 72]
Bin 144 (150/150): [78, 72]
Bin 145 (150/150): [77, 73]
Bin 146 (149/150): [76, 73]
Bin 147 (150/150): [76, 74]
Bin 148 (150/150): [76, 74]
Bin 149 (150/150): [76, 74]
Bin 150 (150/150): [76, 74]
Bin 151 (150/150): [76, 74]
Bin 152 (150/150): [75, 75]
Bin 153 (150/150): [75, 75]
Bin 154 (149/150): [75, 74]
Bin 155 (146/150): [73, 73]
Bin 156 (146/150): [73, 73]
Bin 157 (146/150): [73, 73]
Bin 158 (139/150): [47, 46, 46]
Bin 159 (138/150): [46, 46, 46]
Bin 160 (138/150): [46, 46, 46]
Bin 161 (137/150): [46, 46, 45]
Bin 162 (135/150): [45, 45, 45]
Bin 163 (135/150): [45, 45, 45]
Bin 164 (135/150): [45, 45, 45]
Bin 165 (132/150): [44, 44, 44]
Bin 166 (131/150): [44, 44, 43]
Bin 167 (149/150): [43, 43, 43, 20]
Bin 168 (149/150): [43, 43, 43, 20]
Bin 169 (150/150): [43, 43, 42, 22]
Bin 170 (149/150): [42, 42, 42, 23]
Bin 171 (150/150): [42, 42, 42, 24]
Bin 172 (150/150): [42, 42, 42, 24]
Bin 173 (150/150): [42, 41, 41, 26]
Bin 174 (150/150): [41, 41, 41, 27]
Bin 175 (150/150): [41, 40, 40, 29]
Bin 176 (150/150): [40, 40, 39, 31]
Bin 177 (150/150): [39, 39, 39, 33]
Bin 178 (150/150): [39, 39, 38, 34]
Bin 179 (150/150): [38, 38, 38, 36]
Bin 180 (150/150): [38, 38, 38, 36]
Bin 181 (149/150): [38, 37, 37, 37]
Bin 182 (148/150): [37, 37, 37, 37]
Bin 183 (145/150): [37, 36, 36, 36]
Bin 184 (143/150): [36, 36, 36, 35]
Bin 185 (140/150): [35, 35, 35, 35]
Bin 186 (140/150): [35, 35, 35, 35]
Bin 187 (135/150): [34, 34, 34, 33]
Bin 188 (132/150): [33, 33, 33, 33]
Bin 189 (150/150): [32, 32, 32, 32, 22]
Bin 190 (150/150): [32, 32, 32, 32, 22]
Bin 191 (150/150): [31, 31, 30, 30, 28]
Bin 192 (150/150): [30, 30, 30, 30, 30]
Bin 193 (146/150): [30, 29, 29, 29, 29]
Bin 194 (144/150): [29, 29, 29, 29, 28]
Bin 195 (137/150): [28, 28, 27, 27, 27]
Bin 196 (135/150): [27, 27, 27, 27, 27]
Bin 197 (150/150): [26, 26, 26, 26, 26, 20]
Bin 198 (150/150): [25, 25, 25, 25, 25, 25]
Bin 199 (146/150): [25, 25, 24, 24, 24, 24]
Bin 200 (137/150): [23, 23, 23, 23, 23, 22]
Bin 201 (146/150): [22, 21, 21, 21, 21, 20, 20]
