Melhor Distribuição para BP-6:
Total de Bins Usados: 201
Perda Percentual: 1.70%

Bin 1 (Soma: 150/150): [100, 50]
Bin 81 (Soma: 150/150): [86, 64]
Bin 82 (Soma: 150/150): [86, 64]
Bin 83 (Soma: 150/150): [85, 65]
Bin 84 (Soma: 150/150): [85, 65]
Bin 85 (Soma: 150/150): [85, 65]
Bin 86 (Soma: 150/150): [85, 65]
Bin 87 (Soma: 149/150): [85, 64]
Bin 88 (Soma: 150/150): [84, 66]
Bin 89 (Soma: 150/150): [84, 66]
Bin 90 (Soma: 150/150): [84, 66]
Bin 91 (Soma: 150/150): [84, 66]
Bin 92 (Soma: 150/150): [84, 66]
Bin 93 (Soma: 150/150): [84, 66]
Bin 94 (Soma: 150/150): [84, 66]
Bin 95 (Soma: 148/150): [84, 64]
Bin 96 (Soma: 148/150): [84, 64]
Bin 97 (Soma: 146/150): [84, 62]
Bin 98 (Soma: 146/150): [84, 62]
Bin 99 (Soma: 145/150): [84, 61]
Bin 100 (Soma: 150/150): [83, 67]
Bin 101 (Soma: 150/150): [83, 67]
Bin 102 (Soma: 150/150): [83, 67]
Bin 103 (Soma: 150/150): [83, 67]
Bin 104 (Soma: 150/150): [82, 68]
Bin 105 (Soma: 150/150): [82, 68]
Bin 106 (Soma: 150/150): [82, 68]
Bin 107 (Soma: 150/150): [82, 68]
Bin 108 (Soma: 149/150): [82, 67]
Bin 109 (Soma: 150/150): [81, 69]
Bin 110 (Soma: 150/150): [81, 69]
Bin 111 (Soma: 150/150): [81, 69]
Bin 112 (Soma: 150/150): [81, 69]
Bin 113 (Soma: 150/150): [81, 69]
Bin 114 (Soma: 148/150): [81, 67]
Bin 115 (Soma: 148/150): [81, 67]
Bin 116 (Soma: 150/150): [80, 70]
Bin 117 (Soma: 150/150): [80, 70]
Bin 118 (Soma: 150/150): [80, 70]
Bin 119 (Soma: 150/150): [80, 70]
Bin 120 (Soma: 150/150): [80, 70]
Bin 121 (Soma: 150/150): [80, 70]
Bin 122 (Soma: 150/150): [80, 70]
Bin 123 (Soma: 150/150): [80, 70]
Bin 124 (Soma: 150/150): [80, 70]
Bin 125 (Soma: 147/150): [80, 67]
Bin 126 (Soma: 147/150): [80, 67]
Bin 127 (Soma: 147/150): [80, 67]
Bin 128 (Soma: 141/150): [80, 61]
Bin 129 (Soma: 150/150): [79, 71]
Bin 130 (Soma: 150/150): [79, 71]
Bin 131 (Soma: 150/150): [79, 71]
Bin 132 (Soma: 150/150): [79, 71]
Bin 133 (Soma: 150/150): [79, 71]
Bin 134 (Soma: 150/150): [79, 71]
Bin 135 (Soma: 140/150): [79, 61]
Bin 136 (Soma: 136/150): [79, 57]
Bin 137 (Soma: 150/150): [78, 72]
Bin 138 (Soma: 150/150): [78, 72]
Bin 139 (Soma: 150/150): [78, 72]
Bin 140 (Soma: 135/150): [78, 57]
Bin 141 (Soma: 135/150): [78, 57]
Bin 142 (Soma: 135/150): [78, 57]
Bin 143 (Soma: 135/150): [78, 57]
Bin 144 (Soma: 150/150): [78, 47, 25]
Bin 145 (Soma: 150/150): [77, 73]
Bin 146 (Soma: 150/150): [76, 74]
Bin 147 (Soma: 150/150): [76, 74]
Bin 148 (Soma: 150/150): [76, 74]
Bin 149 (Soma: 150/150): [76, 74]
Bin 150 (Soma: 150/150): [76, 74]
Bin 151 (Soma: 150/150): [76, 74]
Bin 152 (Soma: 150/150): [75, 75]
Bin 153 (Soma: 150/150): [75, 75]
Bin 154 (Soma: 148/150): [75, 73]
Bin 155 (Soma: 146/150): [73, 73]
Bin 156 (Soma: 146/150): [73, 73]
Bin 157 (Soma: 146/150): [73, 73]
Bin 158 (Soma: 139/150): [47, 46, 46]
Bin 159 (Soma: 138/150): [46, 46, 46]
Bin 160 (Soma: 138/150): [46, 46, 46]
Bin 161 (Soma: 137/150): [46, 46, 45]
Bin 162 (Soma: 135/150): [45, 45, 45]
Bin 163 (Soma: 135/150): [45, 45, 45]
Bin 164 (Soma: 135/150): [45, 45, 45]
Bin 165 (Soma: 132/150): [44, 44, 44]
Bin 166 (Soma: 131/150): [44, 44, 43]
Bin 167 (Soma: 150/150): [43, 43, 43, 21]
Bin 168 (Soma: 150/150): [43, 43, 43, 21]
Bin 169 (Soma: 150/150): [43, 43, 42, 22]
Bin 170 (Soma: 150/150): [42, 42, 42, 24]
Bin 171 (Soma: 150/150): [42, 42, 42, 24]
Bin 172 (Soma: 150/150): [42, 42, 42, 24]
Bin 173 (Soma: 150/150): [42, 41, 41, 26]
Bin 174 (Soma: 150/150): [41, 41, 41, 27]
Bin 175 (Soma: 150/150): [41, 40, 40, 29]
Bin 176 (Soma: 150/150): [40, 40, 39, 31]
Bin 177 (Soma: 150/150): [39, 39, 39, 33]
Bin 178 (Soma: 150/150): [39, 39, 38, 34]
Bin 179 (Soma: 150/150): [38, 38, 38, 36]
Bin 180 (Soma: 150/150): [38, 38, 38, 36]
Bin 181 (Soma: 149/150): [38, 37, 37, 37]
Bin 182 (Soma: 148/150): [37, 37, 37, 37]
Bin 183 (Soma: 145/150): [37, 36, 36, 36]
Bin 184 (Soma: 143/150): [36, 36, 36, 35]
Bin 185 (Soma: 140/150): [35, 35, 35, 35]
Bin 186 (Soma: 140/150): [35, 35, 35, 35]
Bin 187 (Soma: 135/150): [34, 34, 34, 33]
Bin 188 (Soma: 132/150): [33, 33, 33, 33]
Bin 189 (Soma: 150/150): [32, 32, 32, 32, 22]
Bin 190 (Soma: 150/150): [32, 32, 32, 32, 22]
Bin 191 (Soma: 150/150): [31, 31, 30, 30, 28]
Bin 192 (Soma: 150/150): [30, 30, 30, 30, 30]
Bin 193 (Soma: 146/150): [30, 29, 29, 29, 29]
Bin 194 (Soma: 144/150): [29, 29, 29, 29, 28]
Bin 195 (Soma: 137/150): [28, 28, 27, 27, 27]
Bin 196 (Soma: 135/150): [27, 27, 27, 27, 27]
Bin 197 (Soma: 150/150): [26, 26, 26, 26, 26, 20]
Bin 198 (Soma: 150/150): [25, 25, 25, 25, 25, 25]
Bin 199 (Soma: 143/150): [25, 24, 24, 24, 23, 23]
Bin 200 (Soma: 136/150): [23, 23, 23, 23, 22, 22]
Bin 201 (Soma: 122/150): [21, 21, 20, 20, 20, 20]
