Melhor Distribuição para BP-7:
Total de Bins Usados: 403
Perda Percentual: 1.13%

Bin 1 (Soma: 150/150): [100, 50]
Bin 81 (Soma: 150/150): [95, 55]
Bin 82 (Soma: 150/150): [95, 55]
Bin 83 (Soma: 150/150): [94, 56]
Bin 84 (Soma: 150/150): [94, 56]
Bin 85 (Soma: 150/150): [94, 56]
Bin 86 (Soma: 150/150): [94, 56]
Bin 87 (Soma: 150/150): [94, 56]
Bin 88 (Soma: 150/150): [94, 56]
Bin 89 (Soma: 150/150): [94, 56]
Bin 90 (Soma: 150/150): [94, 56]
Bin 91 (Soma: 150/150): [94, 56]
Bin 92 (Soma: 150/150): [93, 57]
Bin 93 (Soma: 150/150): [93, 57]
Bin 94 (Soma: 150/150): [93, 57]
Bin 95 (Soma: 150/150): [92, 58]
Bin 96 (Soma: 150/150): [92, 58]
Bin 97 (Soma: 150/150): [92, 58]
Bin 98 (Soma: 150/150): [92, 58]
Bin 99 (Soma: 150/150): [92, 58]
Bin 100 (Soma: 150/150): [92, 58]
Bin 101 (Soma: 150/150): [92, 58]
Bin 102 (Soma: 150/150): [92, 58]
Bin 103 (Soma: 150/150): [92, 58]
Bin 104 (Soma: 150/150): [92, 58]
Bin 105 (Soma: 150/150): [92, 58]
Bin 106 (Soma: 149/150): [92, 57]
Bin 107 (Soma: 149/150): [92, 57]
Bin 108 (Soma: 149/150): [92, 57]
Bin 109 (Soma: 149/150): [92, 57]
Bin 110 (Soma: 150/150): [91, 59]
Bin 111 (Soma: 150/150): [91, 59]
Bin 112 (Soma: 150/150): [91, 59]
Bin 113 (Soma: 150/150): [91, 59]
Bin 114 (Soma: 150/150): [91, 59]
Bin 115 (Soma: 150/150): [91, 59]
Bin 116 (Soma: 150/150): [91, 59]
Bin 117 (Soma: 150/150): [91, 59]
Bin 118 (Soma: 150/150): [91, 59]
Bin 119 (Soma: 150/150): [91, 59]
Bin 120 (Soma: 148/150): [91, 57]
Bin 121 (Soma: 148/150): [91, 57]
Bin 122 (Soma: 148/150): [91, 57]
Bin 123 (Soma: 148/150): [91, 57]
Bin 124 (Soma: 148/150): [91, 57]
Bin 125 (Soma: 150/150): [90, 60]
Bin 126 (Soma: 150/150): [90, 60]
Bin 127 (Soma: 150/150): [90, 60]
Bin 128 (Soma: 150/150): [90, 60]
Bin 129 (Soma: 150/150): [90, 60]
Bin 130 (Soma: 150/150): [90, 60]
Bin 131 (Soma: 150/150): [90, 60]
Bin 132 (Soma: 150/150): [90, 60]
Bin 133 (Soma: 150/150): [90, 60]
Bin 134 (Soma: 150/150): [90, 60]
Bin 135 (Soma: 150/150): [90, 60]
Bin 136 (Soma: 150/150): [90, 60]
Bin 137 (Soma: 150/150): [90, 60]
Bin 138 (Soma: 150/150): [89, 61]
Bin 139 (Soma: 150/150): [89, 61]
Bin 140 (Soma: 150/150): [89, 61]
Bin 141 (Soma: 150/150): [89, 61]
Bin 142 (Soma: 150/150): [89, 61]
Bin 143 (Soma: 150/150): [89, 61]
Bin 144 (Soma: 150/150): [89, 61]
Bin 145 (Soma: 150/150): [89, 61]
Bin 146 (Soma: 150/150): [88, 62]
Bin 147 (Soma: 150/150): [88, 62]
Bin 148 (Soma: 150/150): [88, 62]
Bin 149 (Soma: 150/150): [88, 62]
Bin 150 (Soma: 150/150): [88, 62]
Bin 151 (Soma: 150/150): [88, 62]
Bin 152 (Soma: 150/150): [88, 62]
Bin 153 (Soma: 150/150): [88, 62]
Bin 154 (Soma: 150/150): [88, 62]
Bin 155 (Soma: 150/150): [88, 62]
Bin 156 (Soma: 150/150): [88, 62]
Bin 157 (Soma: 150/150): [88, 62]
Bin 158 (Soma: 150/150): [88, 62]
Bin 159 (Soma: 150/150): [87, 63]
Bin 160 (Soma: 150/150): [87, 63]
Bin 161 (Soma: 150/150): [87, 63]
Bin 162 (Soma: 150/150): [87, 63]
Bin 163 (Soma: 150/150): [87, 63]
Bin 164 (Soma: 150/150): [87, 63]
Bin 165 (Soma: 150/150): [87, 63]
Bin 166 (Soma: 148/150): [87, 61]
Bin 167 (Soma: 148/150): [87, 61]
Bin 168 (Soma: 148/150): [87, 61]
Bin 169 (Soma: 150/150): [86, 64]
Bin 170 (Soma: 150/150): [86, 64]
Bin 171 (Soma: 150/150): [86, 64]
Bin 172 (Soma: 150/150): [86, 64]
Bin 173 (Soma: 150/150): [86, 64]
Bin 174 (Soma: 150/150): [86, 64]
Bin 175 (Soma: 150/150): [86, 64]
Bin 176 (Soma: 150/150): [85, 65]
Bin 177 (Soma: 150/150): [85, 65]
Bin 178 (Soma: 150/150): [85, 65]
Bin 179 (Soma: 150/150): [85, 65]
Bin 180 (Soma: 150/150): [85, 65]
Bin 181 (Soma: 150/150): [85, 65]
Bin 182 (Soma: 150/150): [85, 65]
Bin 183 (Soma: 150/150): [85, 65]
Bin 184 (Soma: 150/150): [85, 65]
Bin 185 (Soma: 149/150): [85, 64]
Bin 186 (Soma: 149/150): [85, 64]
Bin 187 (Soma: 150/150): [84, 66]
Bin 188 (Soma: 150/150): [84, 66]
Bin 189 (Soma: 150/150): [84, 66]
Bin 190 (Soma: 150/150): [84, 66]
Bin 191 (Soma: 150/150): [84, 66]
Bin 192 (Soma: 150/150): [84, 66]
Bin 193 (Soma: 150/150): [84, 66]
Bin 194 (Soma: 150/150): [84, 66]
Bin 195 (Soma: 150/150): [84, 66]
Bin 196 (Soma: 150/150): [84, 66]
Bin 197 (Soma: 150/150): [84, 66]
Bin 198 (Soma: 150/150): [84, 66]
Bin 199 (Soma: 150/150): [84, 66]
Bin 200 (Soma: 150/150): [84, 66]
Bin 201 (Soma: 150/150): [84, 66]
Bin 202 (Soma: 148/150): [84, 64]
Bin 203 (Soma: 148/150): [84, 64]
Bin 204 (Soma: 148/150): [84, 64]
Bin 205 (Soma: 148/150): [84, 64]
Bin 206 (Soma: 144/150): [84, 60]
Bin 207 (Soma: 150/150): [83, 67]
Bin 208 (Soma: 150/150): [83, 67]
Bin 209 (Soma: 150/150): [83, 67]
Bin 210 (Soma: 150/150): [83, 67]
Bin 211 (Soma: 150/150): [83, 67]
Bin 212 (Soma: 150/150): [83, 67]
Bin 213 (Soma: 150/150): [83, 67]
Bin 214 (Soma: 150/150): [83, 67]
Bin 215 (Soma: 150/150): [83, 67]
Bin 216 (Soma: 150/150): [83, 67]
Bin 217 (Soma: 150/150): [82, 68]
Bin 218 (Soma: 150/150): [82, 68]
Bin 219 (Soma: 150/150): [82, 68]
Bin 220 (Soma: 150/150): [82, 68]
Bin 221 (Soma: 150/150): [82, 68]
Bin 222 (Soma: 150/150): [82, 68]
Bin 223 (Soma: 150/150): [82, 68]
Bin 224 (Soma: 150/150): [82, 68]
Bin 225 (Soma: 149/150): [82, 67]
Bin 226 (Soma: 149/150): [82, 67]
Bin 227 (Soma: 149/150): [82, 67]
Bin 228 (Soma: 149/150): [82, 67]
Bin 229 (Soma: 149/150): [82, 67]
Bin 230 (Soma: 150/150): [81, 69]
Bin 231 (Soma: 150/150): [81, 69]
Bin 232 (Soma: 150/150): [81, 69]
Bin 233 (Soma: 150/150): [81, 69]
Bin 234 (Soma: 150/150): [81, 69]
Bin 235 (Soma: 150/150): [81, 69]
Bin 236 (Soma: 150/150): [81, 69]
Bin 237 (Soma: 150/150): [81, 69]
Bin 238 (Soma: 150/150): [81, 69]
Bin 239 (Soma: 150/150): [81, 69]
Bin 240 (Soma: 150/150): [81, 69]
Bin 241 (Soma: 150/150): [81, 69]
Bin 242 (Soma: 150/150): [81, 69]
Bin 243 (Soma: 150/150): [81, 69]
Bin 244 (Soma: 150/150): [80, 70]
Bin 245 (Soma: 150/150): [80, 70]
Bin 246 (Soma: 150/150): [80, 70]
Bin 247 (Soma: 150/150): [80, 70]
Bin 248 (Soma: 150/150): [80, 70]
Bin 249 (Soma: 150/150): [80, 70]
Bin 250 (Soma: 150/150): [80, 70]
Bin 251 (Soma: 150/150): [80, 70]
Bin 252 (Soma: 150/150): [80, 70]
Bin 253 (Soma: 150/150): [80, 70]
Bin 254 (Soma: 150/150): [80, 70]
Bin 255 (Soma: 150/150): [80, 70]
Bin 256 (Soma: 150/150): [80, 70]
Bin 257 (Soma: 150/150): [80, 70]
Bin 258 (Soma: 150/150): [80, 70]
Bin 259 (Soma: 150/150): [80, 70]
Bin 260 (Soma: 149/150): [80, 69]
Bin 261 (Soma: 150/150): [79, 71]
Bin 262 (Soma: 150/150): [79, 71]
Bin 263 (Soma: 150/150): [79, 71]
Bin 264 (Soma: 150/150): [79, 71]
Bin 265 (Soma: 150/150): [79, 71]
Bin 266 (Soma: 150/150): [79, 71]
Bin 267 (Soma: 150/150): [79, 71]
Bin 268 (Soma: 150/150): [79, 71]
Bin 269 (Soma: 150/150): [79, 71]
Bin 270 (Soma: 150/150): [79, 71]
Bin 271 (Soma: 150/150): [79, 71]
Bin 272 (Soma: 150/150): [79, 71]
Bin 273 (Soma: 148/150): [79, 69]
Bin 274 (Soma: 150/150): [78, 72]
Bin 275 (Soma: 150/150): [78, 72]
Bin 276 (Soma: 150/150): [78, 72]
Bin 277 (Soma: 150/150): [78, 72]
Bin 278 (Soma: 150/150): [78, 72]
Bin 279 (Soma: 150/150): [78, 72]
Bin 280 (Soma: 150/150): [78, 72]
Bin 281 (Soma: 150/150): [78, 72]
Bin 282 (Soma: 150/150): [78, 72]
Bin 283 (Soma: 150/150): [78, 72]
Bin 284 (Soma: 150/150): [78, 72]
Bin 285 (Soma: 138/150): [78, 60]
Bin 286 (Soma: 138/150): [78, 60]
Bin 287 (Soma: 138/150): [78, 60]
Bin 288 (Soma: 138/150): [78, 60]
Bin 289 (Soma: 150/150): [77, 73]
Bin 290 (Soma: 150/150): [77, 73]
Bin 291 (Soma: 150/150): [77, 73]
Bin 292 (Soma: 150/150): [77, 73]
Bin 293 (Soma: 150/150): [77, 73]
Bin 294 (Soma: 150/150): [76, 74]
Bin 295 (Soma: 150/150): [76, 74]
Bin 296 (Soma: 150/150): [76, 74]
Bin 297 (Soma: 150/150): [76, 74]
Bin 298 (Soma: 150/150): [76, 74]
Bin 299 (Soma: 150/150): [76, 74]
Bin 300 (Soma: 150/150): [76, 74]
Bin 301 (Soma: 150/150): [76, 74]
Bin 302 (Soma: 150/150): [76, 74]
Bin 303 (Soma: 150/150): [75, 75]
Bin 304 (Soma: 150/150): [75, 75]
Bin 305 (Soma: 150/150): [75, 75]
Bin 306 (Soma: 150/150): [75, 75]
Bin 307 (Soma: 150/150): [75, 75]
Bin 308 (Soma: 148/150): [75, 73]
Bin 309 (Soma: 146/150): [73, 73]
Bin 310 (Soma: 146/150): [73, 73]
Bin 311 (Soma: 146/150): [73, 73]
Bin 312 (Soma: 150/150): [60, 57, 33]
Bin 313 (Soma: 150/150): [57, 57, 36]
Bin 314 (Soma: 150/150): [57, 57, 36]
Bin 315 (Soma: 150/150): [53, 53, 44]
Bin 316 (Soma: 144/150): [48, 48, 48]
Bin 317 (Soma: 144/150): [48, 48, 48]
Bin 318 (Soma: 144/150): [48, 48, 48]
Bin 319 (Soma: 144/150): [48, 48, 48]
Bin 320 (Soma: 142/150): [48, 47, 47]
Bin 321 (Soma: 141/150): [47, 47, 47]
Bin 322 (Soma: 141/150): [47, 47, 47]
Bin 323 (Soma: 141/150): [47, 47, 47]
Bin 324 (Soma: 140/150): [47, 47, 46]
Bin 325 (Soma: 138/150): [46, 46, 46]
Bin 326 (Soma: 138/150): [46, 46, 46]
Bin 327 (Soma: 138/150): [46, 46, 46]
Bin 328 (Soma: 138/150): [46, 46, 46]
Bin 329 (Soma: 136/150): [46, 45, 45]
Bin 330 (Soma: 135/150): [45, 45, 45]
Bin 331 (Soma: 135/150): [45, 45, 45]
Bin 332 (Soma: 135/150): [45, 45, 45]
Bin 333 (Soma: 135/150): [45, 45, 45]
Bin 334 (Soma: 135/150): [45, 45, 45]
Bin 335 (Soma: 132/150): [44, 44, 44]
Bin 336 (Soma: 132/150): [44, 44, 44]
Bin 337 (Soma: 132/150): [44, 44, 44]
Bin 338 (Soma: 132/150): [44, 44, 44]
Bin 339 (Soma: 150/150): [44, 43, 43, 20]
Bin 340 (Soma: 150/150): [43, 43, 43, 21]
Bin 341 (Soma: 150/150): [43, 43, 43, 21]
Bin 342 (Soma: 150/150): [43, 43, 43, 21]
Bin 343 (Soma: 150/150): [43, 43, 43, 21]
Bin 344 (Soma: 150/150): [43, 43, 42, 22]
Bin 345 (Soma: 150/150): [42, 42, 42, 24]
Bin 346 (Soma: 150/150): [42, 42, 42, 24]
Bin 347 (Soma: 150/150): [42, 42, 42, 24]
Bin 348 (Soma: 150/150): [42, 42, 42, 24]
Bin 349 (Soma: 150/150): [42, 42, 42, 24]
Bin 350 (Soma: 150/150): [42, 42, 41, 25]
Bin 351 (Soma: 150/150): [41, 41, 41, 27]
Bin 352 (Soma: 150/150): [41, 41, 41, 27]
Bin 353 (Soma: 150/150): [41, 41, 41, 27]
Bin 354 (Soma: 150/150): [41, 41, 40, 28]
Bin 355 (Soma: 150/150): [40, 40, 40, 30]
Bin 356 (Soma: 150/150): [40, 40, 40, 30]
Bin 357 (Soma: 150/150): [40, 40, 40, 30]
Bin 358 (Soma: 150/150): [40, 39, 39, 32]
Bin 359 (Soma: 150/150): [39, 39, 39, 33]
Bin 360 (Soma: 150/150): [39, 39, 39, 33]
Bin 361 (Soma: 150/150): [39, 39, 38, 34]
Bin 362 (Soma: 150/150): [38, 38, 38, 36]
Bin 363 (Soma: 150/150): [38, 38, 38, 36]
Bin 364 (Soma: 150/150): [38, 38, 38, 36]
Bin 365 (Soma: 149/150): [38, 37, 37, 37]
Bin 366 (Soma: 148/150): [37, 37, 37, 37]
Bin 367 (Soma: 148/150): [37, 37, 37, 37]
Bin 368 (Soma: 148/150): [37, 37, 37, 37]
Bin 369 (Soma: 148/150): [37, 37, 37, 37]
Bin 370 (Soma: 144/150): [36, 36, 36, 36]
Bin 371 (Soma: 144/150): [36, 36, 36, 36]
Bin 372 (Soma: 140/150): [35, 35, 35, 35]
Bin 373 (Soma: 140/150): [35, 35, 35, 35]
Bin 374 (Soma: 140/150): [35, 35, 35, 35]
Bin 375 (Soma: 136/150): [34, 34, 34, 34]
Bin 376 (Soma: 136/150): [34, 34, 34, 34]
Bin 377 (Soma: 136/150): [34, 34, 34, 34]
Bin 378 (Soma: 132/150): [33, 33, 33, 33]
Bin 379 (Soma: 150/150): [33, 32, 32, 32, 21]
Bin 380 (Soma: 150/150): [32, 32, 32, 32, 22]
Bin 381 (Soma: 150/150): [32, 32, 32, 32, 22]
Bin 382 (Soma: 150/150): [32, 32, 32, 32, 22]
Bin 383 (Soma: 150/150): [32, 31, 31, 31, 25]
Bin 384 (Soma: 150/150): [31, 31, 31, 31, 26]
Bin 385 (Soma: 150/150): [31, 31, 30, 30, 28]
Bin 386 (Soma: 150/150): [30, 30, 30, 30, 30]
Bin 387 (Soma: 146/150): [30, 29, 29, 29, 29]
Bin 388 (Soma: 145/150): [29, 29, 29, 29, 29]
Bin 389 (Soma: 143/150): [29, 29, 29, 28, 28]
Bin 390 (Soma: 137/150): [28, 28, 27, 27, 27]
Bin 391 (Soma: 135/150): [27, 27, 27, 27, 27]
Bin 392 (Soma: 135/150): [27, 27, 27, 27, 27]
Bin 393 (Soma: 133/150): [27, 27, 27, 26, 26]
Bin 394 (Soma: 150/150): [26, 26, 26, 26, 26, 20]
Bin 395 (Soma: 150/150): [26, 26, 26, 25, 25, 22]
Bin 396 (Soma: 150/150): [25, 25, 25, 25, 25, 25]
Bin 397 (Soma: 146/150): [25, 25, 24, 24, 24, 24]
Bin 398 (Soma: 141/150): [24, 24, 24, 23, 23, 23]
Bin 399 (Soma: 138/150): [23, 23, 23, 23, 23, 23]
Bin 400 (Soma: 136/150): [23, 23, 23, 23, 22, 22]
Bin 401 (Soma: 148/150): [22, 21, 21, 21, 21, 21, 21]
Bin 402 (Soma: 141/150): [21, 20, 20, 20, 20, 20, 20]
Bin 403 (Soma: 120/150): [20, 20, 20, 20, 20, 20]
